date,ws,wd,rh,pres,solar,temp_mean,temp_max,temp_min,precip_sum,c6h6,co,no,no2,nox,o3,so2,casos_total,poblacio_total,incidencia_1000
2011-09-17,3.10571428571429,230.428571428571,74.8857142857143,NA,275.657142857143,25.1114285714286,28.3,20.3,0,NA,0.22,7.42,24.92,NA,42.54,1.62,NA,NA,NA
2011-09-18,2.26666666666667,188.25,86.2083333333333,NA,80.1041666666667,20.1583333333333,24.2,16.2,11.6,NA,0.2,2.96,22.38,NA,36.88,1.21,NA,NA,NA
2011-09-19,3.3,236.041666666667,57.0208333333333,NA,240.354166666667,19.0145833333333,25.2,14.8,0,NA,0.2,48.21,40,NA,32.25,2.29,NA,NA,NA
2011-09-20,2.78125,270.416666666667,68.2083333333333,NA,225.645833333333,19.94375,24.6,16,0,NA,0.23,6.54,37.96,NA,38.92,2,NA,NA,NA
2011-09-21,3.2125,264.479166666667,77.2083333333333,NA,232.708333333333,20.7375,26.2,15.2,0,NA,0.3,17.25,47.12,NA,31.54,2.46,NA,NA,NA
2011-09-22,2.62083333333333,261.708333333333,80.375,NA,222.208333333333,21.71875,26.7,17.6,0,NA,0.36,19.92,44.38,NA,29.46,3.71,NA,NA,NA
2011-09-23,2.8375,263.875,80.7083333333333,NA,214.625,21.6833333333333,26.7,17.2,0,NA,0.4,23.5,45.54,NA,27.46,3.67,NA,NA,NA
2011-09-24,1.64583333333333,221.979166666667,84.2291666666667,NA,55.0625,20.3083333333333,23,17.8,7.1,NA,0.38,13.58,43.62,NA,32.08,2.42,NA,NA,NA
2011-09-25,2.2,237.5,77.625,NA,221.854166666667,20.2541666666667,25.2,16.2,0,NA,0.34,15.33,36.5,NA,37.5,2.71,NA,NA,NA
2011-09-26,2.13333333333333,237.604166666667,75.7916666666667,NA,212.208333333333,21.0083333333333,26.7,16.6,0,NA,0.4,26.54,46.96,NA,32.12,3.88,NA,NA,NA
2011-09-27,2.36041666666667,243.916666666667,69.3958333333333,NA,215.0625,22.0145833333333,28.6,17,0,NA,0.42,21.58,49.42,NA,44.5,3.5,NA,NA,NA
2011-09-28,2.47291666666667,234.833333333333,66,NA,210.875,21.4520833333333,27.3,17,0,NA,0.45,19.27,53,NA,46.3,5.71,NA,NA,NA
2011-09-29,3.36041666666667,200.395833333333,69.5416666666667,NA,205.375,21.2708333333333,27.1,16,0,NA,0.45,20.57,49.96,NA,58,5.87,NA,NA,NA
2011-09-30,2.93333333333333,200.645833333333,74.3125,NA,191.5,20.7666666666667,25.4,15.6,0,NA,0.47,13.04,42.04,NA,59.88,3.38,NA,NA,NA
2011-10-01,2.78958333333333,218.875,76.6666666666667,NA,186.770833333333,20.53125,25.4,16.3,0,NA,0.46,4.83,34.25,NA,57.75,3.04,NA,NA,NA
2011-10-02,3.3,274.604166666667,73.9166666666667,NA,210.770833333333,20.2229166666667,26.3,15.6,0,NA,0.45,2.21,28.46,NA,57.33,2.71,67,28107,2.38374782082755
2011-10-03,2.66458333333333,256.041666666667,59.8125,NA,203.666666666667,21.5270833333333,29.6,16.3,0,NA,0.48,11.54,55.17,NA,45.58,4.38,65,30376,2.13984724782723
2011-10-04,2.9125,268.229166666667,61.8333333333333,NA,200.770833333333,21.0354166666667,28.9,15.8,0,NA,0.48,12.21,59.29,NA,53.38,4.54,57,28989,1.96626306530063
2011-10-05,3.19166666666667,241.145833333333,61.625,NA,201.5625,21.5791666666667,28.7,15.8,0,NA,0.48,43.71,63.08,NA,47.92,7.71,52,19853,2.61925149851408
