date,ws,wd,rh,pres,solar,temp_mean,temp_max,temp_min,precip_sum,c6h6,co,no,no2,nox,o3,so2,casos_total,poblacio_total,incidencia_1000
2011-09-17,3.10571428571429,230.428571428571,74.8857142857143,NA,275.657142857143,25.1114285714286,28.3,20.3,0,NA,0.32,1.29,2.79,NA,57.67,2.17,NA,NA,NA
2011-09-18,2.26666666666667,188.25,86.2083333333333,NA,80.1041666666667,20.1583333333333,24.2,16.2,11.6,NA,0.31,1.46,3.83,NA,41.83,2.62,NA,NA,NA
2011-09-19,3.3,236.041666666667,57.0208333333333,NA,240.354166666667,19.0145833333333,25.2,14.8,0,NA,0.25,2.12,8,NA,61.79,2.08,NA,NA,NA
2011-09-20,2.78125,270.416666666667,68.2083333333333,NA,225.645833333333,19.94375,24.6,16,0,NA,0.31,3.21,8.58,NA,63.38,1.58,NA,NA,NA
2011-09-21,3.2125,264.479166666667,77.2083333333333,NA,232.708333333333,20.7375,26.2,15.2,0,NA,0.3,17.71,22.04,NA,54.09,2.82,NA,NA,NA
2011-09-22,2.62083333333333,261.708333333333,80.375,NA,222.208333333333,21.71875,26.7,17.6,0,NA,0.31,4.79,10.17,NA,47.79,3.17,NA,NA,NA
2011-09-23,2.8375,263.875,80.7083333333333,NA,214.625,21.6833333333333,26.7,17.2,0,NA,0.31,6.71,8.54,NA,51.17,3.33,NA,NA,NA
2011-09-24,1.64583333333333,221.979166666667,84.2291666666667,NA,55.0625,20.3083333333333,23,17.8,7.1,NA,0.27,1.54,6.54,NA,42.92,4.27,NA,NA,NA
2011-09-25,2.2,237.5,77.625,NA,221.854166666667,20.2541666666667,25.2,16.2,0,NA,0.25,1.21,3.83,NA,67.5,4.67,NA,NA,NA
2011-09-26,2.13333333333333,237.604166666667,75.7916666666667,NA,212.208333333333,21.0083333333333,26.7,16.6,0,NA,0.3,5.92,14.5,NA,40.96,4.38,NA,NA,NA
2011-09-27,2.36041666666667,243.916666666667,69.3958333333333,NA,215.0625,22.0145833333333,28.6,17,0,NA,0.36,8.45,15,NA,60.17,4.58,NA,NA,NA
2011-09-28,2.47291666666667,234.833333333333,66,NA,210.875,21.4520833333333,27.3,17,0,NA,0.34,2.71,16.46,NA,82.67,3.79,NA,NA,NA
2011-09-29,3.36041666666667,200.395833333333,69.5416666666667,NA,205.375,21.2708333333333,27.1,16,0,NA,0.39,3.38,16.88,NA,94.88,4.21,NA,NA,NA
2011-09-30,2.93333333333333,200.645833333333,74.3125,NA,191.5,20.7666666666667,25.4,15.6,0,NA,0.3,3.04,16.21,NA,88.67,3.11,NA,NA,NA
2011-10-01,2.78958333333333,218.875,76.6666666666667,NA,186.770833333333,20.53125,25.4,16.3,0,NA,0.4,2.29,8.75,NA,91.08,3.04,NA,NA,NA
2011-10-02,3.3,274.604166666667,73.9166666666667,NA,210.770833333333,20.2229166666667,26.3,15.6,0,NA,0.4,1.17,5.38,NA,81.71,3.21,NA,NA,NA
2011-10-03,2.66458333333333,256.041666666667,59.8125,NA,203.666666666667,21.5270833333333,29.6,16.3,0,NA,0.37,6.91,20.52,NA,62.09,4.22,42,15210,2.76134122287968
2011-10-04,2.9125,268.229166666667,61.8333333333333,NA,200.770833333333,21.0354166666667,28.9,15.8,0,NA,0.37,7.54,21.33,NA,84.04,4.42,24,10213,2.34994614706746
2011-10-05,3.19166666666667,241.145833333333,61.625,NA,201.5625,21.5791666666667,28.7,15.8,0,NA,0.36,17.39,29.09,NA,69,5.43,46,17055,2.69715625916154
2011-10-06,2.31875,262.375,78.1875,NA,185.479166666667,21.0979166666667,27,17,0,NA,0.33,6.12,13.25,NA,68.77,4.33,38,16845,2.25586227367171
2011-10-07,3.12916666666667,226.770833333333,71.8541666666667,NA,118.5,20.0479166666667,23.9,16.9,0,NA,0.36,4.29,9.58,NA,55.25,4,23,7753,2.96659357667999
2011-10-08,2.91041666666667,231.25,56.2916666666667,NA,185.958333333333,18.3708333333333,23.6,12.8,0,NA,0.35,2.58,7.67,NA,54.33,3.88,12,7656,1.56739811912226
2011-10-09,2.67916666666667,282.979166666667,59.7291666666667,NA,195.791666666667,18.36875,24.8,14.4,0,NA,0.34,1.54,4.08,NA,52.75,3.33,NA,NA,NA
2011-10-10,3.63125,270.395833333333,58.2083333333333,NA,193.229166666667,21.3229166666667,28.3,15.7,0,NA,0.35,9.5,15.46,NA,40.83,4.88,37,13631,2.71440099772577
2011-10-11,2.99166666666667,274.6875,55.6041666666667,NA,190.625,21.6270833333333,28.5,17,0,NA,0.45,12.33,21.46,NA,42.33,3.77,22,9789,2.2474205741138
2011-10-12,3.08333333333333,273.375,57.2291666666667,NA,189.916666666667,21.6020833333333,29.6,16.5,0,NA,0.72,2.54,14.33,NA,57.46,2.46,15,10485,1.43061516452074
2011-10-13,2.48125,209.979166666667,69.7916666666667,NA,160.3125,20.8833333333333,26.5,16.2,0,NA,0.54,4.62,16,NA,54.58,1.71,46,24179,1.90247735638364
2011-10-14,2.36458333333333,208.3125,66.7291666666667,NA,164.270833333333,20.0020833333333,24.9,16,0,NA,0.37,4.04,17.04,NA,44.75,1.42,25,11356,2.20147939415287
